Codigo;Categoria;Marca;Descripcion;Valor_Nominal;Suscripcion;Cuota_1_a_7;Cuota_8_adelante;DI_Total;DI_2_Cuotas;Plazo_Meses
34545;Autos 0KM;Renault;RENAULT Kwid Iconic Bitono 1.0L;32900000;161321.99;160592.40;108570.00;525478.80;262739.40;300
29558;Autos 0KM;Fiat;FIAT Mobi Trekking 1.0L;33900000;166225.40;165473.63;111870.00;541450.80;270725.40;300
30041;Autos 0KM;Chevrolet;CHEVROLET Onix Plus 1.0 LT MT;37400000;183387.31;182557.93;123420.00;597352.80;298676.40;300
30042;Autos 0KM;Citroen;CITROEN C3 VTi 115 Feel Pack Aut.;37900000;185839.01;184998.54;125070.00;605338.80;302669.40;300
23642;Autos 0KM;Coradir;CORADIR Tito S5 - 300 (Electrico);40900000;200549.22;199642.23;134970.00;653254.80;326627.40;300
15658;Autos 0KM;Peugeot;PEUGEOT 208 Allure 1.6L Nafta;42400000;207904.33;206964.07;139920.00;677212.80;338606.40;300
26484;Autos 0KM;Nissan;NISSAN Versa Advance 1.6L MT Nafta;43400000;212807.73;211845.30;143220.00;693184.80;346592.40;300
19075;Autos 0KM;Fiat;FIAT Pulse Drive CVT 1.3L Nafta;43700000;214278.75;213309.66;144210.00;697976.40;348988.20;300
31607;Autos 0KM;Fiat;FIAT Cronos Drive 1.3L Pack Plus;43900000;215259.44;214285.91;144870.00;701170.80;350585.40;300
19068;Autos 0KM;Volkswagen;VW Polo MSI 5 Ptas. 1.6L Nafta;43900000;215259.44;214285.91;144870.00;701170.80;350585.40;300
15646;Autos 0KM;Fiat;FIAT Cronos Precision 1.3 CVT Nafta;44900000;220162.84;219167.14;148170.00;717142.80;358571.40;300
27565;Autos 0KM;Toyota;TOYOTA Yaris Hatchback 1.5 XLS CVT;44900000;220162.84;219167.14;148170.00;717142.80;358571.40;300
45091;Autos 0KM;Renault;RENAULT Kardian Evolution 200 EDC Aut.;45900000;225066.24;224048.37;151470.00;733114.80;366557.40;300
45101;Autos 0KM;Chevrolet;CHEVROLET Spark EUV 102 CV Aut. (Electrico);46000000;225556.58;224536.49;151800.00;734712.00;367356.00;300
37799;Autos 0KM;Citroen;CITROEN C3 Aircross VTi Feel Pack;46400000;227517.95;226488.98;153120.00;741100.80;370550.40;300
31606;Autos 0KM;Chevrolet;CHEVROLET Spin Premier 7 Pasajeros;47900000;234873.05;233810.82;158070.00;765058.80;382529.40;300
16461;Autos 0KM;Chevrolet;CHEVROLET Tracker 1.2L Turbo LTZ Aut.;49400000;242228.16;241132.66;163020.00;789016.80;394508.40;300
15666;Autos 0KM;Toyota;TOYOTA Corolla XLI CVT 2.0L;50900000;249583.26;248454.51;167970.00;812974.80;406487.40;300
19073;Autos 0KM;Renault;RENAULT Duster Iconic CVT 1.3L 4X2 Nafta;51900000;254486.67;253335.73;171270.00;828946.80;414473.40;300
19066;Autos 0KM;Toyota;TOYOTA Corolla Cross 2.0L XLI CVT Nafta;57900000;283907.09;282623.10;191070.00;924778.80;462389.40;300
16465;Autos 0KM;Volkswagen;VW Nivus Highline 200 TSI 1.0L;58700000;287829.81;286528.08;193710.00;937556.40;468778.20;300
34547;Autos 0KM;Volkswagen;VW Virtus Highline 1.0L;58900000;288810.50;287504.33;194370.00;940750.80;470375.40;300
29557;Autos 0KM;Peugeot;PEUGEOT 2008 GT T200 Nafta;59900000;293713.90;292385.56;197670.00;956722.80;478361.40;300
45095;Autos 0KM;Renault;RENAULT Arkana E-Tech Hybrid 1.3T;60900000;298617.30;297266.79;200970.00;972694.80;486347.40;300
39527;Autos 0KM;Ford;FORD Territory Titanium;64700000;317250.24;315815.45;213510.00;1033388.40;516694.20;300
16462;Autos 0KM;Nissan;NISSAN Kicks Advance 1.6L CVT Nafta Plus;64900000;318230.92;316791.70;214170.00;1036582.80;518291.40;300
45093;Autos 0KM;Volkswagen;VW Taos 250 Highline Aut.;70600000;346180.32;344614.70;232980.00;1127623.20;563811.60;300
37800;Autos 0KM;Jeep;JEEP Compass Limited 1.3 4X2 Nafta;70900000;347651.34;346079.07;233970.00;1132414.80;566207.40;300
29563;Autos 0KM;Ford;FORD Bronco Sport Big Bend 1.5L Nafta;74900000;367264.96;365603.98;247170.00;1196302.80;598151.40;300
15672;Autos 0KM;Volkswagen;VW Vento GLI 350 TSI;83900000;411395.60;409535.03;276870.00;1340050.80;670025.40;300
16459;Autos 0KM;Toyota;TOYOTA SW4 SRX 2.8L TDI 6AT 7A;97900000;480043.25;477872.22;323070.00;1563658.80;781829.40;300
30043;Pickups y Utilitarios;Fiat;FIAT Strada Freedom CD 1.4 Firefly;43900000;215259.44;214285.91;144870.00;701170.80;350585.40;300
15664;Pickups y Utilitarios;Renault;RENAULT Kangoo Express Furgon Confort 1.5L DCI;47900000;234873.05;233810.82;158070.00;765058.80;382529.40;300
34544;Pickups y Utilitarios;Chevrolet;CHEVROLET Montana 1.2T LTZ AT;49900000;244679.86;243573.28;164670.00;797002.80;398501.40;300
28006;Pickups y Utilitarios;Volkswagen;VW Saveiro Confortline 1.6 MSI MT;51900000;254486.67;253335.73;171270.00;828946.80;414473.40;300
16463;Pickups y Utilitarios;Nissan;NISSAN Frontier S 4X2 2.3L TDI Diesel;52900000;259390.07;258216.96;174570.00;844918.80;422459.40;300
31608;Pickups y Utilitarios;Fiat;FIAT Toro Freedom CD 4X2 1.3L Nafta Aut.;53900000;264293.48;263098.19;177870.00;860890.80;430445.40;300
19074;Pickups y Utilitarios;Renault;RENAULT Oroch Outsider 4X4 1.3L Nafta;55900000;274100.28;272860.65;184470.00;892834.80;446417.40;300
15651;Pickups y Utilitarios;Ford;FORD Ranger CD XL 4X2 2.0L Diesel;56900000;279003.69;277741.87;187770.00;908806.80;454403.40;300
15667;Pickups y Utilitarios;Toyota;TOYOTA Hilux 4X2 CD DX TDI 2.4L;56900000;279003.69;277741.87;187770.00;908806.80;454403.40;300
29564;Pickups y Utilitarios;Ford;FORD Maverick XLT 2.0L Nafta;61500000;301559.35;300195.52;202950.00;982278.00;491139.00;300
15643;Pickups y Utilitarios;Chevrolet;CHEVROLET S-10 CD 4X2 2.8;63900000;313327.52;311910.47;210870.00;1020610.80;510305.40;300
16467;Pickups y Utilitarios;Renault;RENAULT Alaskan Emotion 4X4 2.3L Diesel;71900000;352554.75;350960.29;237270.00;1148386.80;574193.40;300
45103;Pickups y Utilitarios;RAM;RAM Dakota Warlock 2.2 TD 4X4 Aut.;74900000;367264.96;365603.98;247170.00;1196302.80;598151.40;300
16102;Pickups y Utilitarios;Renault;RENAULT Master Furgon L1H1 2.3 DCI;79900000;391781.98;390010.12;263670.00;1276162.80;638081.40;300
15661;Pickups y Utilitarios;Peugeot;PEUGEOT Boxer Furgon L3H2 HDi 2.2L;81900000;401588.79;399772.57;270270.00;1308106.80;654053.40;300
29560;Pickups y Utilitarios;Volkswagen;VW Amarok Highline V6 3.0 TDI Aut.;104900000;514367.08;512040.82;346170.00;1675462.80;837731.40;300
45105;Pickups y Utilitarios;Mercedes Benz;MERCEDES BENZ Sprinter Combi 417 CDI (15+1);114800000;562910.78;560364.97;378840.00;1833585.60;916792.80;300
45097;Pickups y Utilitarios;Ford;FORD Ranger Raptor 3.0L 4X4 CD Aut.;119900000;587918.14;585259.24;395670.00;1915042.80;957521.40;300
29561;Camiones;Ford;FORD Transit Chassis 2.0L 4X2 M/T;81900000;401588.79;399772.57;270270.00;1308106.80;654053.40;300
45099;Camiones;Mercedes Benz;MERCEDES BENZ Atego 1721/48 CS Aut.;14700000;720800.39;717540.52;485100.00;2347884.00;1173942.00;300
